Plasmids	Term	TMP	MCP	ParA	ParM	XerC	TeTmM	TeTmMPa	TeTmMPm	TeTmMPaPm	TeTmMX	TeTmMPaX	TeTmMPmX	TeTmMPaPmX	TeTmPa	TeMPa
GU324768.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
GQ118149.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000024.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000025.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000026.1	1	6	0	1	0	1	 	 	 	 	 	 	 	 	+	 
LYVD01000027.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000028.1	0	0	0	0	0	2	 	 	 	 	 	 	 	 	 	 
LYVD01000029.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000030.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000031.1	1	2	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000032.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000033.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000034.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000035.1	0	1	0	12	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000036.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000037.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000038.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000039.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000040.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000042.1	0	1	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000043.1	0	0	0	1	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000044.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000045.1	0	1	0	1	0	2	 	 	 	 	 	 	 	 	 	 
LYVD01000046.1	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 
LYVD01000048.1	0	1	1	0	0	2	 	 	 	 	 	 	 	 	 	 
LYVD01000049.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000050.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000051.1	2	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000052.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000053.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
LYVD01000054.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP015728.1	20	82	7	12	0	0	+	+	 	 	 	 	 	 	+	+
CP011157.1	1	4	1	24	0	3	+	+	 	 	+	+	 	 	+	+
CP011156.1	4	10	0	1	0	3	 	 	 	 	 	 	 	 	+	 
CP011146.1	91	10	1	13	0	3	+	+	 	 	+	+	 	 	+	+
CP009595.1	3	13	2	20	0	3	+	+	 	 	+	+	 	 	+	+
CP009594.1	20	62	1	11	0	0	+	+	 	 	 	 	 	 	+	+
NC_014757.1	0	1	1	13	0	1	 	 	 	 	 	 	 	 	 	 
NC_010924.1	2	14	7	19	0	3	+	+	 	 	+	+	 	 	+	+
JPYN01000061.1	0	0	0	2	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000062.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000063.1	0	0	0	2	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000064.1	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000065.1	0	1	0	0	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000066.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
JPYN01000067.1	0	5	0	0	0	0	 	 	 	 	 	 	 	 	 	 
AAEK01000004.1	2	16	1	15	0	1	+	+	 	 	+	+	 	 	+	+
ABCZ02000100.1	20	46	3	13	0	0	+	+	 	 	 	 	 	 	+	+
ABDK02000071.1	20	45	6	12	0	0	+	+	 	 	 	 	 	 	+	+
ABDA02000036.1	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 
ABDA02000037.1	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 
Y17748.1	0	0	0	2	0	0	 	 	 	 	 	 	 	 	 	 
AAEK01000020.1	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 
Y17749.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
Y17741.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
GQ184724.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
Y09024.1	0	0	0	1	0	0	 	 	 	 	 	 	 	 	 	 
AJ277277.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
