Plasmids	locus_tag(Term)	protein_id(Term)	E-value_1(Term)	E-value_2(Term)	locus_tag(TMP)	protein_id(TMP)	E-value_1(TMP)	E-value_2(TMP)	locus_tag(MCP)	protein_id(MCP)	E-value_1(MCP)	E-value_2(MCP)	locus_tag(ParA)	protein_id(ParA)	E-value_1(ParA)	E-value_2(ParA)	locus_tag(ParM)	protein_id(ParM)	E-value_1(ParM)	E-value_2(ParM)	locus_tag(XerC)	protein_id(XerC)	E-value_1(XerC)	E-value_2(XerC)
CP001167.1	-	-	-	-	-	-	-	-	-	-	-	-	BCH308197_E0013	ACI30486.1	4.7e-09	1.8e-07	-	-	-	-	-	-	-	-
CP009604.1	-	-	-	-	-	-	-	-	-	-	-	-	BF33_5836	AJK32011.1	6.9e-19	7.8e-19	-	-	-	-	-	-	-	-
CP009604.1	-	-	-	-	-	-	-	-	-	-	-	-	BF33_5836	AJK32011.1	1e-09	1.3e-09	-	-	-	-	-	-	-	-
CP009637.1	AK40_6238	AJI08588.1	3.1e-15	3.1e-15	AK40_6293	AJI08584.1	2.8e-13	2.8e-13	AK40_6302	AJI08551.1	1.4e-06	2.1e-06	-	-	-	-	AK40_6281	AJI08547.1	0.0001	0.00016	-	-	-	-
CP009637.1	AK40_6238	AJI08588.1	2.2e-71	6.3e-69	AK40_6293	AJI08584.1	4.5e-21	5.1e-09	AK40_6302	AJI08551.1	5.7e-47	5.1e-46	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	AK40_6238	AJI08588.1	6.8e-25	6.8e-25	AK40_6293	AJI08584.1	4.5e-15	2.4e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	-	-	-	-	AK40_6293	AJI08584.1	5.3e-09	4.6e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	-	-	-	-	AK40_6293	AJI08584.1	1.7e-14	1.7e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	-	-	-	-	AK40_6293	AJI08584.1	5.4e-12	1.2e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009637.1	-	-	-	-	AK40_6293	AJI08584.1	0.0002	0.0002	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	9.5e-05	0.0052	-	-	-	-	AK40_6041	AJI08381.1	3e-36	6.6e-35
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	2.7e-07	5.7e-07	-	-	-	-	AK40_6011	AJI08509.1	1.1e-31	1.3e-31
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	0.00064	0.0039	-	-	-	-	AK40_5903	AJI08448.1	1.8e-18	3.3e-18
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	8.3e-07	3.5e-06	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	0.00078	0.0072	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	AK40_5950	AJI08450.1	3e-07	9.3e-07	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	AK40_6030	AJI08327.1	0.00033	0.0004	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	AK40_5986	AJI08333.1	4.1e-06	4.1e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP009636.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP003751.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP003749.1	-	-	-	-	-	-	-	-	-	-	-	-	BCK_27498	AFQ13308.1	2.7e-14	5.1e-14	-	-	-	-	BCK_27448	AFQ13298.1	1.5e-14	3.2e-13
CP003749.1	-	-	-	-	-	-	-	-	-	-	-	-	BCK_27498	AFQ13308.1	1.7e-05	3.2e-05	-	-	-	-	-	-	-	-
CP003749.1	-	-	-	-	BCK_27493	AFQ13307.1	9e-05	0.00012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP003749.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP003749.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP003189.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0017	AAY60623.1	1.2e-09	1.4e-09
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	1.5e-16	2.1e-16	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	4.4e-35	5.6e-35	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	3.4e-17	3.6e-08	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0039	AAY60644.1	1.1e-19	3.8e-18	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0049	AAY60651.1	1.7e-11	2.9e-11	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	1.3e-17	1.7e-17	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	1.7e-39	2e-39	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	3.7e-13	4.3e-13	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	3.3e-11	4.6e-11	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	0.00048	0.00093	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	7.7e-16	2.4e-15	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	3.7e-18	4.8e-18	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0001	AAY60607.1	1.2e-09	2.1e-05	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L54_0039	AAY60644.1	3.2e-10	2.3e-08	-	-	-	-	-	-	-	-
CP000042.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L466_0068	AAY60233.1	3.4e-16	7.6e-15	-	-	-	-	pE33L466_0018	AAY60189.1	9.7e-40	2.2e-39
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L466_0073	AAY60238.1	1e-11	5.1e-11	-	-	-	-	pE33L466_0037	AAY60206.1	1.4e-37	1.8e-37
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pE33L466_0056	AAY60221.1	3.3e-24	4.7e-24
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pE33L466_0164	AAY60324.1	1.8e-09	2.2e-09
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	pE33L466_0068	AAY60233.1	3.1e-07	2.2e-05	-	-	-	-	pE33L466_0412	AAY60552.1	2.5e-09	2.9e-09
CP000040.1	-	-	-	-	pE33L466_0234	AAY60391.1	4.5e-09	4.5e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	pE33L466_0234	AAY60391.1	3e-12	3e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000040.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AE016878.2	-	-	-	-	-	-	-	-	BC_p0010	AAP12354.1	0.00018	0.14	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	1.6e-09	1.9e-07	BCQ_PT26	ACM15988.1	1.4e-46	5.9e-46	-	-	-	-	BCQ_PT41	ACM16003.1	1.5e-14	7e-13	BCQ_PT09	ACM15971.1	9.9e-24	1.2e-23	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	0.00014	0.00099	BCQ_PT26	ACM15988.1	1e-27	1.6e-17	BCQ_PT35	ACM15997.1	1.7e-117	1.9e-117	BCQ_PT41	ACM16003.1	2.5e-07	2.8e-05	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT40	ACM16002.1	2.1e-18	4.6e-17	BCQ_PT26	ACM15988.1	6.6e-22	1.5e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	5.6e-07	3.7e-06	BCQ_PT26	ACM15988.1	1.8e-18	4.4e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	8.2e-26	1.4e-25	BCQ_PT26	ACM15988.1	4.8e-05	0.00036	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	5.1e-45	6.8e-45	BCQ_PT26	ACM15988.1	4.6e-06	4.6e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	4.2e-27	6.1e-27	BCQ_PT26	ACM15988.1	1e-19	6.5e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT40	ACM16002.1	4.1e-05	6.5e-05	BCQ_PT26	ACM15988.1	1.2e-06	1.2e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	0.00019	0.0054	BCQ_PT26	ACM15988.1	4.4e-15	6.5e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT38	ACM16000.1	0.00032	0.8	BCQ_PT26	ACM15988.1	1.3e-58	3.8e-58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT26	ACM15988.1	1e-11	3.4e-10	BCQ_PT26	ACM15988.1	5.6e-08	9.5e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT38	ACM16000.1	1.6e-29	1.6e-27	BCQ_PT26	ACM15988.1	5.1e-23	6.7e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT40	ACM16002.1	5.6e-107	4.7e-105	BCQ_PT26	ACM15988.1	1.5e-06	0.0015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	4.3e-157	5.1e-157	BCQ_PT26	ACM15988.1	1.3e-11	1.3e-11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	1.8e-07	6.8e-07	BCQ_PT26	ACM15988.1	7e-13	2.3e-11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT26	ACM15988.1	8.5e-29	2.9e-23	BCQ_PT26	ACM15988.1	3.6e-15	3.4e-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT36	ACM15998.1	4.6e-112	5.2e-112	BCQ_PT26	ACM15988.1	4.9e-31	1.1e-30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	7.5e-16	1.1e-15	BCQ_PT26	ACM15988.1	7.4e-08	7.4e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	3.6e-20	1.1e-18	BCQ_PT26	ACM15988.1	1.7e-09	1.1e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	1.5e-18	2.7e-11	BCQ_PT26	ACM15988.1	1.5e-05	0.00088	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT40	ACM16002.1	7.9e-39	9.8e-39	BCQ_PT26	ACM15988.1	4.3e-07	0.00034	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT26	ACM15988.1	7.9e-26	1.3e-20	BCQ_PT26	ACM15988.1	1.7e-32	3e-28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	5.2e-23	6.9e-23	BCQ_PT26	ACM15988.1	5.6e-12	9.3e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	2.8e-31	4e-31	BCQ_PT26	ACM15988.1	6.5e-42	6.3e-39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	4.5e-14	6.7e-14	BCQ_PT26	ACM15988.1	4.7e-53	1.8e-26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	3.8e-40	3.8e-40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	8.5e-16	1.2e-15	BCQ_PT26	ACM15988.1	2.6e-32	4.7e-16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	BCQ_PT39	ACM16001.1	2.4e-99	3.1e-99	BCQ_PT26	ACM15988.1	8e-07	0.00015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.3e-21	1.9e-11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	9.7e-31	2.1e-23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	2.2e-08	2.2e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	7.8e-16	2.7e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.4e-31	3.9e-30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.5e-12	3.4e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	0.00068	0.00068	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	2.4e-20	5.5e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	6.4e-16	2.9e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.1e-13	1.3e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	2e-06	2e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	7e-16	9e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	7.8e-50	1.5e-25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	3.8e-08	3.8e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	5.9e-16	5.9e-16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	0.00036	0.00036	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	4.3e-21	4.3e-21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	8.3e-16	3.1e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	2e-37	1.7e-29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	8.2e-05	8.2e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	7.2e-46	1.7e-40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	2.5e-06	0.00036	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.8e-15	2.8e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	5.1e-34	5.1e-34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	6.7e-19	3.8e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	3.5e-56	1e-27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.9e-09	4.9e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.2e-47	7.1e-34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	4.5e-19	1.3e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	1.8e-12	1.8e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	4.9e-17	4.9e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	3.9e-18	3.9e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	9.5e-09	9.5e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP000229.1	-	-	-	-	BCQ_PT26	ACM15988.1	3.5e-15	3.5e-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCG9842_A0080	ACK98727.1	3.4e-06	5.5e-06	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCG9842_A0080	ACK98727.1	7.3e-25	9.2e-25	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	BCG9842_0201	ACK98558.1	0.00086	0.0027	-	-	-	-	BCG9842_0136	ACK98582.1	3.1e-39	4.7e-38
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCG9842_0057	ACK98594.1	1.4e-26	2.4e-26
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BCG9842_0162	ACK98649.1	3.6e-05	8.3e-05
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	BCG9842_0173	ACK98625.1	1.1e-06	1.1e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	BCG9842_0175	ACK98509.1	6.9e-13	6.9e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001187.1	-	-	-	-	BCG9842_0175	ACK98509.1	3.6e-17	3.6e-17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001286.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP001284.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000041.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_30315	OBW84819.1	0.00015	0.012	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_30315	OBW84819.1	9.7e-09	2e-08	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_30315	OBW84819.1	0.00011	0.0037	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_30315	OBW84819.1	2.4e-07	1.4e-06	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	A9L49_30315	OBW84819.1	8.8e-08	1.9e-07	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	A9L49_30460	OBW84846.1	4.6e-06	4.6e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LYVD01000047.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP015730.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DA68_26710	ANE89275.1	2.7e-40	6.3e-40
CP015730.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DA68_26765	ANE89286.1	2e-24	2.2e-24
CP015730.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DA68_26915	ANE89315.1	1.1e-17	1.5e-17
CP015730.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP015730.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
